"Mês","Ano","Empresa","Cidade","Estado","Departamento","Regional","Linha","Produto","Nr.Intenções RENOVADAS","Nr.Intenções","Nr.Intenções CANCELADAS","Nr.Intenções ABERTAS"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ELETRO","Wine - Blue Nun Qualitatswein","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ELETRO","Wine - Duboeuf Beaujolais","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Apple - Granny Smith","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Beans - Black Bean, Canned","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Beef - Chuck, Boneless","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Beer - Rickards Red","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Carbonated Water - Lemon Lime","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Cheese - Ricotta","0","1","0","0"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Crab - Back Fin Meat, Canned","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Mustard - Individual Pkg","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Plasticknivesblack","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Table Cloth 53x53 White","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Wine - Clavet Saint Emilion","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ELETRO","Wine - Rubyport","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Beef - Ground Lean Fresh","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Beef - Ground, Extra Lean, Fresh","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Beer - Blue","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Bonito Flakes - Toku Katsuo","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Brandy Cherry - Mcguinness","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Cheese - Parmesan Grated","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Container - Clear 32 Oz","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Dc - Sakura Fu","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Flour - Bran, Red","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Herb Du Provence - Primerba","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Jello - Assorted","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Lettuce - Romaine, Heart","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Oil - Sunflower","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Pork - Ham, Virginia","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Soup - Campbellschix Stew","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Towel Multifold","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Urban Zen Drinks","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Venison - Ground","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Wine - Domaine Boyar Royal","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Wine - Ice Wine","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Wine - Piper Heidsieck Brut","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Wine - Saint Emilion Calvet","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Wine - White, Lindemans Bin 95","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ELETRO","Wine - Zinfandel California 2002","0","1","0","1"
"7","2017","GAZIN - MATRIZ 1","Douradina","PR","Geral","Regional Edson","ELETRO","Freezer horizontal","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Campo Mourão","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Lid - Translucent, 3.5 And 6 Oz","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Cianorte","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Juice - Lagoon Mango","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Duck - Breast","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Ecolab - Power Fusion","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Extract - Vanilla,artificial","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Filter - Coffee","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Lemon Pepper","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Lime Cordial - Roses","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Limes","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Liqueur - Melon","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Long Island Ice Tea","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Red Snapper - Fresh, Whole","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Sauce - Salsa","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Sugar - White Packet","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Turkey - Oven Roast Breast","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Yoplait - Strawbrasp Peac","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Beef - Baby, Liver","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Bread Sour Rolls","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Gatorade - Fruit Punch","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Lamb - Whole, Fresh","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Onions - Spanish","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Onions Granulated","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Salmon - Whole, 4 - 6 Pounds","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Wine - Pinot Noir Latour","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Wine La Vielle Ferme Cote Du","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Beans - Navy, Dry","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Glycerine","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Liqueur Banana, Ramazzotti","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Nantucket - 518ml","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Pancetta","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Pike - Frozen Fillet","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Syrup - Monin, Amaretta","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Bagel - Ched Chs Presliced","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Beans - French","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Chicken - Whole Roasting","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Cod - Salted, Boneless","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Crab - Back Fin Meat, Canned","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Cucumber - English","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Emulsifier","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Foam Espresso Cup Plain White","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Grapefruit - White","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Juice - Grape, White","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Muffin Carrot - Individual","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Nori Sea Weed - Gold Label","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Peach - Halves","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Pepsi, 355 Ml","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Persimmons","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Rabbit - Legs","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Tart - Raisin And Pecan","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Tomato - Green","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Trueblue - Blueberry 12x473ml","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Wine - Ruffino Chianti Classico","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","ÁUDIO E VÍDEO","Wine - White, Concha Y Toro","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Acrelândia","AC","Geral","Regional Guilherme","MÓVEIS","Roupeiro","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","MÓVEIS","Cattail Hearts","0","1","0","0"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","MÓVEIS","Chicken - Whole","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","MÓVEIS","Five Alive Citrus","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","MÓVEIS","Lemon Grass","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","MÓVEIS","Olive - Spread Tapenade","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","MÓVEIS","Plasticknivesblack","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","MÓVEIS","Soup - Chicken And Wild Rice","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","MÓVEIS","Tarragon - Primerba, Paste","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","MÓVEIS","The Pop Shoppe Pinapple","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","MÓVEIS","Turnip - White","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Bananas","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Beef - Ground Medium","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Beef - Tongue, Cooked","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Bread - Calabrese Baguette","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Cleaner - Lime Away","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Daves Island Stinger","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Longos - Grilled Salmon With Bbq","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Madeira","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Mousse - Banana Chocolate","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Sugar - Sweet N Low, Individual","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Tomatoes","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Trout - Hot Smkd, Dbl Fillet","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Foz do Iguaçu","PR","Geral","Regional Guilherme","MÓVEIS","Truffle Cups - Red","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","MÓVEIS","Dc Hikiage Hira Huba","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","MÓVEIS","Filter - Coffee","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","MÓVEIS","Haggis","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","MÓVEIS","Lettuce Romaine Chopped","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","MÓVEIS","Mushroom - Morel Frozen","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","MÓVEIS","Sage - Ground","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","MÓVEIS","Soup - Base Broth Beef","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","MÓVEIS","Squash - Pepper","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Londrina","PR","Geral","Regional Guilherme","MÓVEIS","Tea - Herbal I Love Lemon","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Bacardi Raspberry","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Beer - Blue Light","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Bread - Hamburger Buns","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Cake - Mini Cheesecake","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Cheese - Wine","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Chicken - Whole Fryers","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Juice - Ocean Spray Cranberry","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Kellogs Raisan Bran Bars","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Lemon Pepper","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Lid Coffeecup 12oz D9542b","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Limes","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Liners - Baking Cups","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Longan","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Lotus Rootlets - Canned","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Mushroom - Chantrelle, Fresh","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Oil - Truffle, Black","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Plate - Foam, Bread And Butter","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Shopper Bag - S - 4","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Sobe - Tropical Energy","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Sole - Iqf","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Soup - Knorr, Chicken Noodle","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Towel Dispenser","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Veal - Provimi Inside","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Vegetable - Base","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Maringá","PR","Geral","Regional Guilherme","MÓVEIS","Wine - Montecillo Rioja Crianza","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Campo Mourão","PR","Geral","Regional Guilherme","CINE FOTO","Pork - Back Ribs","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","CINE FOTO","Cheese - Manchego, Spanish","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","CINE FOTO","Cookie - Dough Variety","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","CINE FOTO","Dehydrated Kelp Kombo","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","CINE FOTO","Dried Cherries","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","CINE FOTO","Lettuce - Red Leaf","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","CINE FOTO","Sobe - Lizard Fuel","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","CINE FOTO","Tart - Lemon","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","CINE FOTO","Water, Tap","0","1","0","1"
"7","2017","01.002 - DOURADINA - PR","Curitiba","PR","Geral","Regional Guilherme","CINE FOTO","Wine - Chateau Aqueria Tavel","0","1","0","1"
